abandon;porzucić
dramatically;dramatycznie
draw;rysować
drawing;rysować
dream;marzenie
dress;ubierać się
drink;pić
drive;jechać
driver;kierowca
drop;spadać
drug;narkotyk
dry;suchy
due;należny
during;podczas
dust;pył
duty;obowiązek
each;każdy
eager;chętny
ear;ucho
early;wczesny
earn;zarabiać
earnings;zarobki
earth;ziemia
ease;ułatwić
easily;łatwo
east;wschód
eastern;wschodni
easy;łatwo
eat;jeść
economic;ekonomiczny
economics;ekonomia
economist;ekonomista
economy;ekonomia
edge;krawędź
edition;wydanie
editor;redaktor
educate;edukować
education;edukacja
educational;edukacyjny
educator;edukator
effect;efekt
effective;skuteczny
effectively;skutecznie
efficiency;skuteczność
efficient;skuteczny
effort;wysiłek
egg;jajko
eight;osiem
either;albo
elderly;starszy
elect;wybrać
election;wybory
electric;elektryczny
electricity;elektryczność
electronic;elektroniczny
element;element
elementary;elementarny
eliminate;wyeliminować
elite;elita
else;else
elsewhere;gdzie indziej
e-mail;e-mail
embrace;przyjąć
emerge;pojawić się
emergency;nagły przypadek
emission;
emotion;emocja
emotional;emocjonalne
emphasis;podkreślenie
emphasize;podkreślać
employ;zatrudniać
employee;pracownik
employer;pracodawca
employment;zatrudnienie
empty;pusty
enable;umożliwić
encounter;napotkać
encourage;zachęta
end;koniec
enemy;wróg
energy;energia
enforcement;egzekwowanie
engage;angażować się
engine;silnik
engineer;inżynier
engineering;inżynieria
English;angielski
enhance;zwiększać
enjoy;cieszyć się
enormous;ogromny
enough;enough
ensure;zapewnić
enter;wejść na stronę
enterprise;przedsiębiorstwo
entertainment;rozrywka
entire;cały
entirely;w całości
entrance;wejście
entry;wejście
environment;środowisko
environmental;środowiskowe
episode;odcinek
equal;równe
equally;równie
equipment;sprzęt
era;era
error;błąd
escape;ucieczka
especially;zwłaszcza
essay;esej
essential;zasadniczo
essentially;zasadniczo
establish;ustalić
establishment;ustanowienie
estate;osiedle
estimate;oszacować
etc;itp.
ethics;etyka
ethnic;etniczne
European;europejski
evaluate;ocenić
evaluation;ocena
even;nawet
evening;wieczór
event;wydarzenie
eventually;ostatecznie
ever;kiedykolwiek
every;każdy
everybody;wszyscy
everyday;codziennie
everyone;wszyscy
everything;wszystko
everywhere;wszędzie
evidence;dowód
evolution;ewolucja
evolve;ewoluować
exact;dokładnie
exactly;dokładnie
examination;badanie
examine;zbadać
example;przykład
exceed;przekroczyć
excellent;doskonały
except;oprócz
exception;wyjątek
exchange;wymiana
exciting;ekscytujące
executive;wykonawczy
exercise;ćwiczenie
exhibit;wystawiać
exhibition;wystawa
exist;istnieć
existence;istnienie
existing;istniejący
expand;rozszerzać
expansion;ekspansja
expect;oczekiwać
expectation;oczekiwanie
expense;koszt
expensive;drogi
experience;doświadczenie
experiment;eksperyment
expert;ekspert
explain;wyjaśnienie
explanation;wyjaśnienie
explode;eksplodować
explore;zbadać
explosion;wybuch
expose;eksponować
exposure;ekspozycja
express;wyrazić
expression;wyrażenie
extend;rozszerzać
extension;rozszerzenie
extensive;obszerny
extent;zakres
external;zewnętrzny
extra;ekstra
extraordinary;nadzwyczajny
extreme;ekstremalny
extremely;niezwykle
eye;oko
fabric;tkanina
face;twarz
facility;obiekt
fact;fakt
factor;czynnik
factory;fabryka
faculty;wydział
fade;zaniknąć
fail;niepowodzenie
failure;niepowodzenie
fair;sprawiedliwie
fairly;sprawiedliwie
faith;wiara
fall;upadek
false;fałszywy
familiar;znajomy
family;rodzina
famous;sławna
fan;fan
fantasy;fantasy
far;daleko
farm;farma
farmer;rolnik
fashion;moda
fast;szybko
fat;gruby
fate;los
father;ojciec
fault;wina
favor;przychylność
favorite;ulubiony
fear;strach
feature;funkcja
federal;federalny
fee;opłata
feed;podaj
feel;czuć
feeling;uczucie
fellow;współpracownik
female;kobieta
fence;ogrodzenie
few;kilka
fewer;mniej
fiber;włókno
fiction;fikcja
field;pole
fifteen;piętnaście
fifth;piąty
fifty;pięćdziesiąt
fight;walka
fighter;bojownik
fighting;walka
figure;rysunek
file;plik
fill;wypełnić
film;film
final;końcowy
finally;ostatecznie
finance;finanse
financial;finansowy
find;znalezienie
finding;znalezienie
fine;dobrze
finger;palec
finish;wykończenie
fire;ogień
firm;mocny
first;pierwszy
fish;ryba
fishing;łowienie
fit;fit
fitness;fitness
five;pięć
fix;naprawić
flag;flaga
flame;płomień
flat;płaski
flavor;smak
flee;uciekać
flesh;ciało
flight;flight
float;float
floor;floor
flow;flow
flower;kwiat
fly;latać
focus;focus
folk;folk
follow;follow
following;śledzenie
food;food
foot;stopa
football;piłka nożna
for;dla
force;siła
foreign;zagraniczny
forest;las
forever;na zawsze
forget;zapomnieć
form;forma
formal;formalny
formation;formacja
former;były
formula;formuła
forth;dalej
fortune;fortuna
forward;do przodu
found;znaleziony
foundation;fundacja
founder;założyciel
four;cztery
fourth;czwarty
frame;rama
framework;rama
free;wolny
freedom;wolność
freeze;zamrożenie
French;Francuski
frequency;częstotliwość
frequent;częsty
frequently;często
fresh;świeży
friend;przyjaciel
friendly;przyjazny
friendship;przyjaźń
from;z
front;przedni
fruit;owoc
frustration;frustracja
fuel;paliwo
full;pełny
fully;w pełni
fun;zabawa
function;funkcja
fund;fund
fundamental;podstawowy
funding;finansowanie
funeral;pogrzeb
funny;śmieszne
furniture;meble
furthermore;ponadto
future;przyszłość
gain;zysk
galaxy;galaktyka
gallery;galeria
game;gra
gang;gang
gap;luka
garage;garaż
garden;ogród
garlic;czosnek
gas;gaz
gate;brama
gather;zebrać
gay;gej
gaze;spojrzenie
gear;sprzęt
gender;gender
gene;gen
general;ogólnie
generally;ogólnie
generate;generować
generation;pokolenie
genetic;genetyczny
gentleman;pan
gently;delikatnie
German;niemiecki
gesture;gest
get;uzyskać
ghost;duch
giant;gigant
gift;prezent
gifted;utalentowana
girl;dziewczyna
girlfriend;dziewczyna
give;podać
given;podany
glad;zadowolony
glance;rzut oka
glass;szkło
global;globalny
glove;rękawica
go;przejdź
goal;cel
God;Bóg
gold;złoto
golden;złoty
golf;golf
good;dobry
government;rząd
governor;gubernator
grab;złapać
grade;stopień
gradually;stopniowo
graduate;ukończyć szkołę
grain;ziarno
grand;grand
grandfather;dziadek
grandmother;babcia
grant;dotacja
grass;trawa
grave;grób
gray;szary
great;wielki
greatest;największy
green;zielony
grocery;sklep spożywczy
ground;grunt
group;grupa
grow;rosnąć
growing;rosnąca
growth;wzrost
guarantee;gwarancja
guard;strażnik
guess;zgadnij
guest;gość
guide;przewodnik
guideline;wytyczna
guilty;winny
gun;pistolet
guy;facet
habit;nawyk
habitat;siedlisko
hair;włosy
half;połowa
hall;hala
hand;ręka
handful;garść
handle;uchwyt
hang;wisieć
happen;zdarzyć się
happy;szczęśliwy
hard;ciężko
hardly;ledwo
hat;kapelusz
hate;nienawidzić
have;mieć
he;on
head;głowa
headline;nagłówek
headquarters;siedziba
health;zdrowie
healthy;zdrowy
hear;słyszeć
hearing;słuch
heart;serce
heat;ciepło
heaven;niebo
heavily;silnie
heavy;mocno
heel;obcas
height;wysokość
helicopter;helikopter
hell;piekło
hello;witaj
help;help
helpful;pomocna
her;jej
here;tutaj
heritage;dziedzictwo
hero;bohater
herself;sama
hey;Hej
hi;hi
hide;hide
high;wysoko
highlight;highlight
highly;wysoko
highway;autostrada
hill;góra
him;on
himself;sam
hip;hip
hire;wynajem
his;jego
historian;historyk
historic;historyczny
historical;historyczny
history;historia
hit;uderzenie
hold;trzymać
hole;otwór
holiday;wakacje
holy;święty
home;dom
homeless;bezdomny
honest;uczciwy
honey;miód
honor;honor
hope;nadzieja
horizon;horyzont
horror;horror
horse;koń
hospital;szpital
host;gospodarz
hot;hot
hotel;hotel
hour;godzina
house;dom
household;gospodarstwo domowe
housing;mieszkaniowy
how;jak
however;jednak
huge;ogromny
human;człowiek
humor;humor
hundred;sto
hungry;głodny
hunter;myśliwy
hunting;polowanie
hurt;ranny
husband;mąż
hypothesis;hipoteza
I;I
ice;lód
idea;pomysł
ideal;ideał
identification;identyfikacja
identify;identyfikacja
identity;tożsamość
ie;czyli
if;jeśli
ignore;ignorować
ill;chory
illegal;nielegalny
illness;choroba
illustrate;zobrazować
image;obraz
imagination;wyobraźnia
imagine;wyobraź sobie
immediate;natychmiast
immediately;natychmiast
immigrant;imigrant
immigration;imigracja
impact;wpływ
implement;wdrożenie
implication;implikacja
imply;sugerować
importance;znaczenie
important;ważne
impose;narzucić
impossible;niemożliwe
impress;imponować
impression;wrażenie
impressive;imponujący
improve;poprawić
improvement;poprawa
in;w
incentive;zachęta
incident;zdarzenie
include;zawierać
including;w tym
income;dochód
incorporate;włączenie
increase;zwiększenie
increased;zwiększony
increasing;zwiększający się
increasingly;coraz bardziej
incredible;niewiarygodne
indeed;rzeczywiście
independence;niezależność
independent;niezależny
index;indeks
Indian;Indie
indicate;wskazać
indication;wskazanie
individual;indywidualny
industrial;przemysłowy
industry;przemysł
infant;niemowlę
infection;infekcja
inflation;inflacja
influence;wpływ
inform;informować
information;informacja
ingredient;składnik
initial;początkowo
initially;początkowo
initiative;inicjatywa
injury;szkoda
inner;wewnętrzny
innocent;niewinny
inquiry;zapytanie
inside;wewnątrz
insight;wgląd
insist;nalegać
inspire;zainspirować
install;zainstalować
instance;instancja
instead;zamiast
institution;instytucja
institutional;instytucjonalny
instruction;instrukcja
instructor;instruktor
instrument;instrument
insurance;ubezpieczenie
intellectual;intelektualista
intelligence;inteligencja
intend;zamierzać
intense;intensywny
intensity;intensywność
intention;zamiar
interaction;interakcja
interest;zainteresowanie
interested;zainteresowany
interesting;interesujący
internal;wewnętrzne
international;międzynarodowy
Internet;Internet
interpret;interpretacja
interpretation;interpretacja
intervention;interwencja
interview;wywiad
into;do
introduce;wprowadzenie
introduction;wprowadzenie
invasion;inwazja
invest;zainwestować
investigate;zbadać
investigation;dochodzenie
investigator;śledczy
investment;inwestycja
investor;inwestor
invite;zaprosić
involve;zaangażować
involved;zaangażowany
involvement;zaangażowanie
Iraqi;Irak
Irish;irlandzki
iron;żelazo
Islamic;islamski
island;wyspa
Israeli;izraelski
issue;kwestia
it;to
Italian;włoski
item;przedmiot
its;jego
itself;sam
jacket;kurtka
jail;więzienie
Japanese;japoński
jet;jet
Jew;Żyd
Jewish;Żyd
job;praca
join;dołączyć
joint;wspólny
joke;żart
journal;dziennik
journalist;dziennikarz
journey;podróż
joy;radość
judge;sędzia
judgment;wyrok
juice;sok
jump;skok
junior;junior
jury;jury
just;tylko
justice;sprawiedliwość
justify;justify
keep;zachować
key;klucz
kick;kick
kid;dziecko
kill;zabić
killer;zabójca
killing;zabijanie
kind;kind
king;król
kiss;pocałunek
kitchen;kuchnia
knee;kolano
knife;nóż
knock;pukanie
know;wiedzieć
knowledge;wiedza
lab;laboratorium
label;etykieta
labor;praca
laboratory;laboratorium
lack;brak
lady;pani
lake;jezioro
land;ziemia
landscape;krajobraz
language;język
lap;okrążenie
large;duży
largely;w dużej mierze
last;ostatni
late;późno
later;później
Latin;łac.
latter;ostatni
laugh;śmiech
launch;start
law;prawo
lawn;trawnik
lawsuit;pozew
lawyer;prawnik
lay;układać
layer;warstwa
lead;prowadzić
leader;lider
leadership;przywództwo
leading;prowadzący
leaf;liść
league;liga
lean;lean
learn;nauka
learning;nauka
least;najmniej
leather;skóra
leave;zostawić
left;lewa
leg;noga
legacy;dziedzictwo
legal;legalny
legend;legenda
legislation;prawodawstwo
legitimate;legalne
lemon;cytryna
length;długość
less;mniej
lesson;lekcja
let;niech
letter;litera
level;poziom
liberal;liberalny
library;biblioteka
license;licencja
lie;kłamstwo
life;życie
lifestyle;styl życia
lifetime;życie
lift;lift
light;światło
like;jak
likely;prawdopodobnie
limit;ograniczenie
limitation;ograniczenie
limited;ograniczony
line;linia
link;link
lip;warga
list;lista
listen;posłuchaj
literally;dosłownie
literary;literacki
literature;literatura
little;mała
live;żyć
living;żyjący
load;obciążenie
loan;pożyczka
local;lokalny
locate;zlokalizować
location;lokalizacja
lock;blokada
long;długo
long-term;długoterminowy
look;zajrzeć
loose;luźne
lose;stracić
loss;strata
lost;stracony
lot;partia
lots;partie
loud;głośny
love;miłość
lovely;urocza
lover;kochanek
low;niski
lower;niżej
luck;szczęście
lucky;szczęście
lunch;obiad
lung;płuco
machine;maszyna
mad;szalony
magazine;magazyn
mail;poczta
main;główny
mainly;mainl
maintain;głównie
maintenance;utrzymywać
major;utrzymanie
majority;główny
make;większość
maker;zrobić
makeup;producent
male;makijaż
mall;mężczyzna
man;centrum handlowe
manage;mężczyzna
management;zarządzać
manager;zarządzanie
manner;kierownik
manufacturer;sposób
manufacturing;producent
many;produkcja
map;wiele
margin;mapa
mark;margines
market;zaznaczyć
marketing;rynek
marriage;marketing
married;małżeństwo
marry;małżeństwo
mask;poślubić
mass;maska
massive;masa
master;masywny
match;mistrz
material;mecz
math;materiał
matter;matematyka
may;materia
maybe;może
mayor;może
me;burmistrz
meal;ja
mean;posiłek
meaning;oznacza
meanwhile;znaczenie
measure;tymczasem
measurement;mierzyć
meat;pomiar
mechanism;mięso
media;mechanizm
medical;media
medication;medyczny
medicine;lekarstwo
medium;lekarstwo
meet;medium
meeting;spotkanie
member;spotkanie
membership;członek
memory;członkostwo
mental;pamięć
mention;mentalny
menu;wzmianka
mere;menu
merely;jedynie
mess;tylko
message;bałagan
metal;wiadomość
meter;metal
method;metr
Mexican;metoda
middle;meksykańska
might;środek
military;siła
milk;wojsko
million;mleko
mind;milion
mine;umysł
minister;kopalnia
minor;minister
minority;mniejszy
minute;mniejszość
miracle;minuta
mirror;cud
miss;lustro
missile;panna
mission;pocisk
mistake;misja
mix;błąd
mixture;mieszanka
mm-hmm;mieszanka
mode;mm-hmm
model;tryb
moderate;model
modern;umiarkowany
modest;nowoczesny
mom;skromny
moment;mama
money;moment
monitor;pieniądze
month;monitorować
mood;miesiąc
moon;nastrój
moral;księżyc
more;moralny
moreover;więcej
morning;ponadto
mortgage;rano
most;hipoteka
mostly;najbardziej
mother;głównie
motion;matka
motivation;ruch
motor;motywacja
mount;silnik
mountain;góra
mouse;góra
mouth;mysz
move;usta
movement;ruch
movie;ruch
Mr;film
Mrs;Pan
Ms;Pani
much;Pani
multiple;dużo
murder;wielokrotne
muscle;morderstwo
museum;mięsień
music;muzeum
musical;muzyka
musician;muzyczny
Muslim;muzyk
must;muzułmanin
mutual;musi
my;wzajemnie
myself;mój
mystery;ja
myth;tajemnica
naked;mit
